,True 13,True 14,True 15,True 16
544,16.36,16.36,16.36,16.36
545,9.84,10.89,10.89,10.89
546,41.2,41.2,41.2,41.2
547,25.05,25.05,25.05,25.05
548,15.72,15.72,15.72,15.72
549,11.0,11.0,11.0,11.0
550,20.016666666666666,20.016666666666666,20.016666666666666,20.016666666666666
551,8.89,8.89,8.89,8.89
552,28.61,28.61,28.61,28.61
553,25.73,25.73,25.73,25.73
554,25.51,25.51,25.51,25.51
555,0.0,0.0,7.459999999999999,7.459999999999999
556,0.0,0.0,0.0,0.0
557,19.04,19.04,19.04,19.04
558,6.33,6.33,6.33,6.33
559,0.0,0.0,33.25,33.25
560,31.84,31.84,31.84,31.84
561,0.0,0.0,0.0,0.0
562,11.03,11.03,11.03,11.03
563,13.17,13.17,13.17,13.17
564,0.0,0.0,0.0,28.57
565,4.92,4.92,4.92,4.92
566,0.0,0.0,0.0,18.42
567,28.815,28.815,28.815,28.815
568,3.96,3.96,3.96,3.96
569,17.45,17.45,17.45,17.45
570,33.67,33.67,33.67,33.67
571,15.47,15.47,15.47,15.47
572,0.0,0.0,17.86,17.86
573,37.52,37.52,37.52,37.52
574,52.85,52.85,52.85,52.85
575,0.0,0.0,42.08,42.08
576,0.0,0.0,0.0,0.0
577,31.895,31.895,31.895,31.895
578,0.0,0.0,0.0,0.0
579,36.49,36.49,36.49,36.49
580,24.92,24.92,24.92,24.92
581,33.394999999999996,33.394999999999996,33.394999999999996,33.394999999999996
582,33.29,33.29,33.29,33.29
583,0.0,11.65,11.65,11.65
584,20.655,20.655,20.655,20.655
585,44.85,44.85,44.85,44.85
586,0.0,0.0,0.0,26.98
587,20.8,20.8,20.8,20.8
588,21.685000000000002,21.685000000000002,21.685000000000002,21.685000000000002
589,49.96,49.96,49.96,49.96
590,28.99,28.99,28.99,24.415
591,26.71,26.71,26.71,26.71
592,0.0,20.64,20.64,20.64
593,47.92,47.92,47.92,47.92
594,13.25,13.25,13.25,13.25
595,0.0,0.0,0.0,0.0
596,23.01,23.01,23.01,23.01
597,20.75,20.75,20.75,20.75
598,31.354999999999997,31.354999999999997,31.354999999999997,31.354999999999997
599,14.45,14.45,14.45,14.45
600,0.0,37.64,37.64,37.64
601,16.97,16.97,16.97,16.97
602,0.0,0.0,7.52,7.52
603,13.34,13.34,13.34,13.34
604,13.72,13.72,13.72,13.72
605,19.275,19.275,19.275,19.275
606,9.91,9.91,9.91,9.91
607,11.34,11.34,11.34,11.34
608,13.25,13.25,13.25,13.25
609,32.41,32.41,32.41,32.41
610,9.76,9.76,10.235,10.235
611,20.15,20.15,20.15,20.15
612,18.88,18.88,18.88,18.88
613,42.29,42.29,42.29,42.29
614,54.29,54.29,54.29,54.29
615,22.67,22.67,22.67,22.67
616,15.93,15.93,15.93,15.93
617,14.68,14.68,14.68,14.68
618,34.04,34.04,34.04,34.04
619,0.0,0.0,0.0,0.0
620,43.71,43.71,43.71,43.71
621,42.13,42.13,42.13,42.13
622,48.46,48.46,48.46,48.46
623,21.7,21.7,21.7,21.7
624,21.45,21.45,21.45,21.45
625,16.025,16.025,16.025,16.025
626,21.99,21.99,21.99,21.99
627,11.09,11.09,11.09,11.09
628,12.38,12.38,12.38,12.38
629,44.51,44.51,44.51,44.51
630,11.023333333333333,12.2225,12.2225,12.2225
631,25.42,25.42,25.42,25.42
632,37.85,37.85,37.85,37.85
633,13.32,13.32,13.32,13.32
634,26.24,26.24,26.24,26.24
635,0.0,13.16,13.16,13.16
636,11.94,11.94,11.94,11.94
637,19.45,19.45,19.45,19.45
638,10.46,10.46,10.46,10.46
639,28.99,28.99,28.99,28.99
640,49.67,49.67,49.67,49.67
641,0.0,0.0,0.0,0.0
642,15.809999999999999,15.809999999999999,15.809999999999999,15.809999999999999
643,40.75,40.75,40.75,40.75
644,9.195,16.386666666666667,16.386666666666667,16.386666666666667
645,47.84,47.84,47.84,47.84
646,15.915,15.915,12.43,12.43
647,0.0,0.0,0.0,12.85
648,0.0,0.0,0.0,0.0
649,23.89,23.89,23.89,23.89
650,29.44,29.44,29.44,29.44
651,16.98,14.870000000000001,14.870000000000001,14.870000000000001
652,13.895,13.895,13.895,13.895
653,28.74,28.74,28.74,28.74
654,17.14,17.14,17.14,17.14
655,13.33,13.33,13.33,13.33
656,40.88,40.88,40.88,40.88
657,0.0,37.6,37.6,37.6
658,11.43,11.43,11.43,11.43
659,10.86,10.86,10.86,10.86
660,10.32,10.32,10.32,10.32
661,0.0,0.0,0.0,0.0
662,39.22,39.22,39.22,39.22
663,17.91,17.91,17.91,17.91
664,0.0,15.53,15.53,15.53
665,35.775000000000006,35.775000000000006,35.775000000000006,35.775000000000006
666,18.25,18.25,18.25,18.25
667,10.85,10.85,10.85,10.85
668,26.98,26.98,26.98,26.98
669,52.16,52.16,52.16,52.16
670,15.2,15.2,15.2,15.2
671,34.5,34.5,34.5,34.5
672,6.59,6.59,6.59,6.59
673,31.17,31.17,31.17,31.17
674,24.26,24.26,24.26,16.89
675,0.0,12.26,12.26,12.26
676,11.31,11.31,11.31,11.31
677,17.41,17.41,19.72,19.72
678,14.063333333333333,14.063333333333333,14.063333333333333,14.063333333333333
679,15.175,15.175,15.175,15.175
680,31.225,31.225,31.225,31.225
681,20.96,20.96,20.96,20.96
682,10.16,10.16,10.16,10.16
683,39.22,39.22,39.22,39.22
684,23.53,23.53,23.53,23.53
685,17.82,17.82,17.82,17.82
686,9.58,9.58,9.58,9.58
687,15.64,15.64,15.64,15.64
688,48.78,48.78,48.78,48.78
689,0.0,0.0,0.0,16.37
690,43.44,43.44,43.44,43.44
691,15.8,15.8,15.8,15.8
692,9.63,9.63,9.63,9.63
693,34.82,33.44,33.44,33.44
694,21.865000000000002,21.865000000000002,21.865000000000002,21.865000000000002
695,0.0,0.0,0.0,0.0
696,0.0,0.0,0.0,15.71
697,26.67,26.67,26.67,26.67
698,12.22,12.22,12.22,12.22
699,23.130000000000003,23.130000000000003,23.130000000000003,23.130000000000003
700,9.69,9.69,9.69,9.69
701,20.64,20.64,20.64,20.64
702,0.0,0.0,17.28,17.28
703,53.56,53.56,53.56,53.56
704,25.044999999999998,21.01,21.01,21.01
705,12.6,12.6,12.6,12.6
706,44.75,44.75,44.75,44.75
707,11.945,11.945,11.945,11.945
708,50.39,50.39,50.39,50.39
709,15.2,15.2,15.2,15.2
710,27.8,27.8,27.8,27.8
711,5.08,5.08,5.08,5.08
712,11.26,11.26,11.26,11.26
